,Receita,Ingredientes1,Ingredientes2,Ingredientes3,Ingredientes4,Ingredientes5,Ingredientes6,Ingredientes7,Ingredientes8,Ingredientes9,Ingredientes10,Ingredientes11,Ingredientes12,Ingredientes13,Ingredientes14,Ingredientes15,Ingredientes16,Ingredientes17,Ingredientes18
32,Doce de Leite Argentino,leite,açúcar,bicarbonato sódio,fava baunilha,,,,,,,,,,,,,,
33,Doce de Abóbora com Coco,abóbora,açúcar,coco,cravo-da-índia,canela pau,,,,,,,,,,,,,
34,Chips de Provolone,provolone,orégano,sal,cúrcuma pó,,,,,,,,,,,,,,
35,Chips de Banana-da-terra,óleo girassol,banana-da-terra,flor sal,,,,,,,,,,,,,,,
36,Chips de Abobrinha ao Forno,farinha rosca,queijo,sal,pimenta-do-reino grãos,abobrinha rodelas,ovo,,,,,,,,,,,,
37,Nhoque de Batata Doce,batata-doce,ovo,farinha trigo,,,,,,,,,,,,,,,
38,Panqueca,farinha trigo,leite,ovo,sal,óleo soja,tomate,mussarela,presunto,ervilha,creme leite,sal,pimenta-do-reino,,,,,,
39,Massa com Espinafre,farfalle,espinafre,parmesão,creme leite,manteiga,noz-moscada,sal,,,,,,,,,,,
40,Tiramissú Rápido,,rum,biscoito,cream,açúcar,ovo batidas neve,chocolate pó,chocolate,,,,,,,,,,
41,Tortinha de Morango,farinha trigo,açúcar,margarina lipidios,gema ovo,essência baunilha,caixinhas morango,leite,leite,amido milho,margarina,,,,,,,,
42,Torta Cremosa de Amendoim e Chocolate,biscoito maisena,amendoim casca,margarina,chocolate leite,leite,leite,ovo,amendoim casca,,,,,,,,,,
43,Molho Pesto,pinolis,alho,manjericão,parmesão,azeite,sal,,,,,,,,,,,,
44,Molho Bolonhesa Vegetariano,hamburguer mix jasmine,polpa tomate,sal,açúcar,orégano,pimenta-do-reino grãos,cebola,alho,azeite,,,,,,,,,
45,Bauru de Assadeira,farinha trigo,margarina,farinha trigo suficiente mãos,óleo soja,ovo,sal,açúcar,fermento,leite,fatias mussarela,fatias presunto,tomate rodelas,cebola,vinagre,salsinha cebolinha,gema ovo,,
46,Esfiha Aberta de Carne,fermento,água,óleo soja,farinha trigo,sal,açúcar,cebola,patinho,limão,pimenta,tomate,sal,cheiro-verde,,,,,
47,Receita de Bolo de Chocolate,farinha trigo,fermento pó,açúcar,chocolate pó,margarina,ovo,leite,essência baunilha,margarina,sal,água,amido milho,chocolate pó,açúcar,,,,
48,Bolo de Chocolate Simples,leite,óleo soja,ovo,farinha trigo,achocolatado pó,açúcar,fermento pó,manteiga,achocolatado pó,açúcar,leite,,,,,,,
49,Pão Caseiro,água,farinha trigo,ovo,fermento,manteiga,açúcar,sal,,,,,,,,,,,
